student_id,concept_id,num_questions,confusion_score,help_requests,recency_days,help_style
S0206,K016,7,0.419,2,18,explanation
S0206,K053,5,0.392,1,21,explanation
S0206,K055,7,0.443,2,22,explanation
S0206,K054,6,0.452,2,12,explanation
S0207,K025,4,0.091,0,14,practice
S0207,K023,2,0.078,0,18,practice
S0207,K011,4,0.196,1,12,practice
S0207,K030,2,0.167,0,8,practice
S0207,K061,2,0.181,0,14,practice
S0207,K045,4,0.185,1,14,practice
S0207,K071,4,0.1,0,11,practice
S0207,K038,4,0.096,0,21,practice
S0207,K063,4,0.178,1,17,practice
S0207,K048,3,0.23,0,16,practice
S0207,K064,8,0.23,2,25,practice
S0207,K053,4,0.132,1,15,practice
S0207,K041,4,0.146,1,23,practice
S0207,K055,4,0.209,1,13,practice
S0207,K046,4,0.067,0,16,practice
S0207,K078,3,0.0,0,15,practice
S0207,K054,5,0.233,1,11,practice
S0208,K028,8,0.798,4,26,practice
S0208,K023,3,0.48,1,13,practice
S0208,K031,7,0.556,2,24,practice
S0208,K011,12,0.497,4,31,practice
S0208,K030,5,0.456,1,14,practice
S0208,K061,6,0.376,2,16,practice
S0208,K068,12,0.469,4,25,practice
S0208,K005,6,0.342,2,15,practice
S0208,K024,10,0.486,3,16,practice
S0208,K076,8,0.421,2,21,practice
S0208,K057,5,0.283,1,29,practice
S0208,K009,5,0.332,1,26,practice
S0208,K052,12,0.462,4,20,practice
S0208,K032,8,0.483,3,23,practice
S0208,K071,4,0.426,1,14,practice
S0208,K019,10,0.466,3,11,practice
S0208,K014,5,0.299,1,13,practice
S0208,K047,9,0.321,2,13,practice
S0208,K021,12,0.522,4,14,practice
S0208,K003,4,0.557,1,23,practice
S0208,K008,7,0.57,2,25,practice
S0208,K016,7,0.551,2,22,practice
S0208,K053,5,0.388,1,23,practice
S0208,K055,6,0.512,2,22,practice
S0208,K041,7,0.486,2,14,practice
S0209,K020,5,0.525,2,28,explanation
S0209,K075,8,0.416,2,27,explanation
S0209,K029,12,0.653,5,25,explanation
S0209,K037,9,0.642,4,16,explanation
S0209,K065,7,0.661,3,23,explanation
S0209,K060,7,0.414,2,26,explanation
S0209,K036,11,0.606,4,21,explanation
S0209,K022,3,0.541,1,27,explanation
S0209,K070,10,0.572,4,10,explanation
S0209,K058,7,0.437,2,25,explanation
S0209,K016,6,0.589,2,21,explanation
S0209,K077,6,0.492,2,30,explanation
S0209,K033,6,0.625,2,22,explanation
S0209,K042,17,0.429,6,27,explanation
S0209,K073,6,0.247,1,26,explanation
S0210,K025,4,0.484,1,12,explanation
S0210,K026,4,0.449,1,15,explanation
S0210,K001,4,0.427,1,22,explanation
S0210,K065,6,0.478,2,22,explanation
S0210,K011,4,0.271,1,13,explanation
S0210,K013,9,0.389,3,7,explanation
S0210,K068,4,0.368,1,7,explanation
S0210,K067,2,0.248,0,20,explanation
S0210,K057,4,0.144,1,10,explanation
S0210,K071,7,0.31,2,23,explanation
S0210,K014,3,0.3,0,19,explanation
S0210,K048,6,0.453,2,15,explanation
S0210,K017,9,0.42,3,14,explanation
S0210,K064,3,0.23,0,13,explanation
S0210,K056,5,0.518,2,17,explanation
S0210,K008,2,0.441,0,15,explanation
S0210,K058,6,0.171,1,20,explanation
S0210,K041,5,0.298,1,11,explanation
S0210,K080,7,0.425,2,19,explanation
S0210,K039,3,0.451,1,16,explanation
S0210,K042,5,0.456,1,16,explanation
S0211,K075,8,0.318,2,22,examples
S0211,K023,6,0.484,2,13,examples
S0211,K031,8,0.673,3,22,examples
S0211,K010,10,0.453,3,22,examples
S0211,K049,6,0.614,2,16,examples
S0211,K005,10,0.467,3,17,examples
S0211,K004,9,0.533,3,11,examples
S0211,K067,4,0.337,1,14,examples
S0211,K057,5,0.462,1,19,examples
S0211,K009,12,0.464,4,22,examples
S0211,K027,9,0.525,3,16,examples
S0211,K019,6,0.642,2,18,examples
S0211,K016,9,0.647,4,13,examples
S0211,K058,5,0.379,1,25,examples
S0211,K077,8,0.437,2,13,examples
S0211,K041,5,0.445,1,9,examples
S0211,K033,4,0.52,1,19,examples
S0211,K080,4,0.183,1,20,examples
S0211,K046,6,0.646,2,15,examples
S0211,K002,10,0.406,3,15,examples
S0211,K073,6,0.412,2,24,examples
S0212,K020,6,0.412,2,12,examples
S0212,K075,9,0.37,3,20,examples
S0212,K025,8,0.539,3,25,examples
S0212,K051,10,0.425,3,28,examples
S0212,K010,10,0.506,4,18,examples
S0212,K040,6,0.328,1,20,examples
S0212,K024,7,0.424,2,15,examples
S0212,K052,10,0.467,3,12,examples
S0212,K032,7,0.483,2,12,examples
S0212,K006,6,0.357,2,15,examples
S0212,K035,6,0.521,2,21,examples
S0212,K059,5,0.401,1,20,examples
S0212,K027,4,0.439,1,11,examples
S0212,K007,6,0.281,1,19,examples
S0212,K043,5,0.398,1,16,examples
S0212,K078,3,0.29,0,17,examples
S0213,K025,7,0.467,2,23,explanation
S0213,K001,4,0.286,1,24,explanation
S0213,K013,2,0.15,0,12,explanation
S0213,K061,9,0.399,3,13,explanation
S0213,K005,6,0.299,1,18,explanation
S0213,K024,5,0.449,1,21,explanation
S0213,K076,7,0.228,2,27,explanation
S0213,K044,5,0.417,1,23,explanation
S0213,K006,5,0.164,1,18,explanation
S0213,K059,3,0.207,0,10,explanation
S0213,K035,4,0.29,1,10,explanation
S0213,K038,5,0.28,1,14,explanation
S0213,K019,7,0.371,2,9,explanation
S0213,K008,3,0.183,0,17,explanation
S0213,K062,7,0.293,2,22,explanation
S0213,K046,4,0.251,1,21,explanation
S0213,K002,5,0.415,1,19,explanation
S0213,K042,9,0.25,2,28,explanation
S0213,K079,5,0.21,1,17,explanation
S0213,K073,1,0.137,0,16,explanation
S0214,K075,2,0.414,0,21,explanation
S0214,K037,10,0.589,4,17,explanation
S0214,K023,5,0.46,1,7,explanation
S0214,K001,4,0.506,1,14,explanation
S0214,K068,8,0.53,3,17,explanation
S0214,K049,4,0.45,1,15,explanation
S0214,K005,6,0.46,2,19,explanation
S0214,K057,4,0.348,1,19,explanation
S0214,K018,9,0.649,4,12,explanation
S0214,K035,14,0.563,5,12,explanation
S0214,K059,3,0.415,1,21,explanation
S0214,K038,9,0.46,3,18,explanation
S0214,K014,5,0.401,1,15,explanation
S0214,K048,10,0.504,4,19,explanation
S0214,K003,11,0.522,4,19,explanation
S0214,K016,9,0.442,3,15,explanation
S0214,K077,6,0.406,2,9,explanation
S0214,K080,6,0.233,1,15,explanation
S0214,K055,6,0.436,2,10,explanation
S0214,K046,2,0.533,0,17,explanation
S0214,K054,8,0.506,3,15,explanation
S0215,K029,3,0.265,0,22,diagram
S0215,K023,3,0.428,1,15,diagram
S0215,K026,5,0.321,1,22,diagram
S0215,K031,8,0.299,2,17,diagram
S0215,K072,5,0.255,1,25,diagram
S0215,K065,10,0.343,3,20,diagram
S0215,K010,7,0.194,1,20,diagram
S0215,K005,4,0.275,1,21,diagram
S0215,K009,6,0.018,1,18,diagram
S0215,K032,5,0.314,1,17,diagram
S0215,K059,6,0.089,1,25,diagram
S0215,K027,9,0.519,3,25,diagram
S0215,K019,10,0.401,3,15,diagram
S0215,K014,4,0.237,1,29,diagram
S0215,K043,3,0.205,0,14,diagram
S0215,K063,7,0.394,2,26,diagram
S0215,K070,2,0.252,0,21,diagram
S0215,K047,6,0.308,1,22,diagram
S0215,K078,7,0.178,1,19,diagram
S0215,K002,9,0.278,2,30,diagram
S0215,K015,7,0.267,2,20,diagram
S0215,K042,8,0.479,3,13,diagram
S0216,K029,14,0.561,5,23,practice
S0216,K037,6,0.484,2,16,practice
S0216,K028,9,0.387,3,11,practice
S0216,K023,2,0.472,0,15,practice
S0216,K001,3,0.38,1,24,practice
S0216,K011,3,0.299,0,19,practice
S0216,K010,4,0.296,1,18,practice
S0216,K004,5,0.356,1,22,practice
S0216,K024,6,0.427,2,20,practice
S0216,K052,3,0.256,0,23,practice
S0216,K059,6,0.25,1,11,practice
S0216,K022,2,0.35,0,19,practice
S0216,K043,6,0.446,2,15,practice
S0216,K070,5,0.62,2,11,practice
S0216,K047,2,0.34,0,25,practice
S0216,K021,2,0.408,0,24,practice
S0216,K034,5,0.42,1,14,practice
S0216,K058,5,0.377,1,12,practice
S0216,K062,4,0.33,1,18,practice
S0216,K078,6,0.211,1,17,practice
S0217,K075,2,0.161,0,18,examples
S0217,K037,1,0.0,0,10,examples
S0217,K023,4,0.075,0,14,examples
S0217,K026,2,0.107,0,12,examples
S0217,K036,2,0.193,0,7,examples
S0217,K030,7,0.165,1,4,examples
S0217,K050,1,0.175,0,12,examples
S0217,K013,5,0.123,1,13,examples
S0217,K049,2,0.178,0,18,examples
S0217,K005,6,0.15,1,12,examples
S0217,K004,5,0.117,1,15,examples
S0217,K045,3,0.08,0,24,examples
S0217,K006,2,0.201,0,8,examples
S0217,K027,8,0.166,2,12,examples
S0217,K022,1,0.184,0,10,examples
S0217,K043,1,0.048,0,19,examples
S0217,K034,2,0.045,0,21,examples
S0217,K041,1,0.0,0,9,examples
S0217,K046,4,0.134,1,15,examples
S0217,K078,1,0.114,0,10,examples
S0218,K020,9,0.56,3,25,practice
S0218,K075,5,0.294,1,27,practice
S0218,K028,7,0.542,2,20,practice
S0218,K072,8,0.513,3,21,practice
S0218,K001,7,0.443,2,20,practice
S0218,K065,3,0.331,0,26,practice
S0218,K060,13,0.51,5,18,practice
S0218,K005,6,0.362,2,21,practice
S0218,K045,4,0.375,1,25,practice
S0218,K059,10,0.576,4,23,practice
S0218,K019,9,0.548,3,13,practice
S0218,K043,6,0.388,2,18,practice
S0218,K048,6,0.594,2,13,practice
S0218,K047,14,0.502,5,17,practice
S0218,K003,3,0.499,1,21,practice
S0218,K008,10,0.458,3,24,practice
S0218,K046,6,0.555,2,13,practice
S0218,K073,9,0.223,2,12,practice
S0218,K054,8,0.525,3,18,practice
S0219,K031,1,0.359,0,20,explanation
S0219,K065,4,0.283,1,9,explanation
S0219,K044,8,0.265,2,15,explanation
S0219,K032,2,0.435,0,20,explanation
S0219,K006,3,0.269,0,24,explanation
S0219,K022,4,0.339,1,16,explanation
S0219,K019,4,0.368,1,22,explanation
S0219,K014,4,0.344,1,21,explanation
S0219,K043,8,0.274,2,22,explanation
S0219,K017,5,0.212,1,20,explanation
S0219,K073,4,0.296,1,9,explanation
S0219,K064,8,0.381,2,20,explanation
S0219,K056,9,0.499,3,10,explanation
S0219,K003,7,0.319,2,13,explanation
S0219,K033,4,0.341,1,19,explanation
S0219,K055,5,0.284,1,24,explanation
S0219,K041,6,0.272,1,11,explanation
S0220,K075,10,0.631,4,20,practice
S0220,K001,10,0.537,4,18,practice
S0220,K011,13,0.708,6,23,practice
S0220,K005,7,0.557,2,26,practice
S0220,K004,15,0.739,7,23,practice
S0220,K057,8,0.707,3,31,practice
S0220,K018,17,0.913,9,15,practice
S0220,K027,11,0.861,5,14,practice
S0220,K014,8,0.649,3,24,practice
S0220,K043,11,0.694,5,23,practice
S0220,K003,9,0.692,4,25,practice
S0220,K053,10,0.687,4,10,practice
S0220,K046,5,0.963,2,21,practice
S0220,K015,11,0.703,5,22,practice
S0221,K023,2,0.214,0,25,examples
S0221,K072,6,0.101,1,27,examples
S0221,K001,4,0.107,0,22,examples
S0221,K036,6,0.318,1,26,examples
S0221,K050,4,0.182,1,16,examples
S0221,K013,4,0.257,1,24,examples
S0221,K049,5,0.362,1,17,examples
S0221,K005,3,0.145,0,21,examples
S0221,K040,4,0.304,1,21,examples
S0221,K024,6,0.28,1,15,examples
S0221,K019,5,0.422,1,16,examples
S0221,K048,8,0.285,2,22,examples
S0221,K064,2,0.237,0,18,examples
S0221,K047,7,0.301,2,26,examples
S0221,K003,5,0.225,1,19,examples
S0221,K008,6,0.222,1,21,examples
S0221,K077,7,0.178,1,17,examples
S0221,K033,4,0.29,1,16,examples
S0221,K046,6,0.291,1,15,examples
S0221,K078,3,0.192,0,16,examples
S0221,K079,2,0.121,0,16,examples
S0222,K020,9,0.284,2,14,explanation
S0222,K025,5,0.359,1,15,explanation
S0222,K028,4,0.142,1,24,explanation
S0222,K023,7,0.33,2,9,explanation
S0222,K026,4,0.451,1,21,explanation
S0222,K060,6,0.333,1,9,explanation
S0222,K011,8,0.284,2,15,explanation
S0222,K050,7,0.375,2,24,explanation
S0222,K049,5,0.39,1,22,explanation
S0222,K005,3,0.259,0,22,explanation
S0222,K004,5,0.354,1,25,explanation
S0222,K044,4,0.344,1,13,explanation
S0222,K069,8,0.273,2,18,explanation
S0222,K006,7,0.264,2,23,explanation
S0222,K071,6,0.308,1,19,explanation
S0222,K063,8,0.314,2,18,explanation
S0222,K017,6,0.325,1,14,explanation
S0222,K047,4,0.389,1,17,explanation
S0222,K003,9,0.31,2,20,explanation
S0222,K008,6,0.262,1,18,explanation
S0222,K058,9,0.327,2,16,explanation
S0222,K062,7,0.123,1,17,explanation
S0222,K055,7,0.529,2,11,explanation
S0223,K028,8,0.614,3,21,explanation
S0223,K026,11,0.602,4,14,explanation
S0223,K031,6,0.586,2,23,explanation
S0223,K072,3,0.397,1,18,explanation
S0223,K011,4,0.456,1,25,explanation
S0223,K068,9,0.541,3,23,explanation
S0223,K004,7,0.511,2,13,explanation
S0223,K038,12,0.529,4,30,explanation
S0223,K022,9,0.516,3,11,explanation
S0223,K014,3,0.431,1,30,explanation
S0223,K048,8,0.558,3,25,explanation
S0223,K017,7,0.797,3,22,explanation
S0223,K077,8,0.468,3,18,explanation
S0223,K055,12,0.613,5,20,explanation
S0223,K078,5,0.287,1,18,explanation
S0223,K015,5,0.409,1,16,explanation
S0223,K042,9,0.533,3,20,explanation
S0223,K079,4,0.362,1,23,explanation
S0223,K054,8,0.743,3,22,explanation
S0224,K023,10,0.479,3,18,diagram
S0224,K040,11,0.486,4,22,diagram
S0224,K067,2,0.331,0,22,diagram
S0224,K069,5,0.513,2,16,diagram
S0224,K052,8,0.465,3,17,diagram
S0224,K059,6,0.47,2,11,diagram
S0224,K047,4,0.308,1,24,diagram
S0224,K053,10,0.539,4,23,diagram
S0225,K072,11,0.445,4,21,diagram
S0225,K069,9,0.584,3,23,diagram
S0225,K059,12,0.659,5,23,diagram
S0225,K035,12,0.892,6,19,diagram
S0225,K022,11,0.675,5,16,diagram
S0225,K014,3,0.623,1,30,diagram
S0225,K047,9,0.789,4,10,diagram
S0225,K003,11,0.58,4,26,diagram
S0225,K016,8,0.786,4,18,diagram
S0225,K078,9,0.493,3,18,diagram
S0225,K042,8,0.637,3,17,diagram
S0226,K037,19,0.773,9,25,examples
S0226,K025,9,0.776,4,24,examples
S0226,K028,2,0.591,0,29,examples
S0226,K051,9,0.692,4,19,examples
S0226,K050,7,0.559,2,24,examples
S0226,K013,6,0.537,2,25,examples
S0226,K049,8,0.578,3,27,examples
S0226,K045,9,0.798,4,20,examples
S0226,K007,9,0.636,4,22,examples
S0226,K043,8,0.562,3,11,examples
S0226,K017,6,0.68,2,23,examples
S0226,K064,8,0.524,3,23,examples
S0226,K056,18,0.866,9,25,examples
S0226,K058,12,0.675,5,24,examples
S0226,K062,11,0.43,4,23,examples
S0226,K033,7,0.472,2,23,examples
S0226,K055,7,0.546,2,25,examples
S0226,K079,3,0.384,1,20,examples
S0227,K075,7,0.236,2,6,practice
S0227,K028,6,0.363,2,18,practice
S0227,K025,4,0.213,1,13,practice
S0227,K026,5,0.222,1,17,practice
S0227,K010,1,0.038,0,21,practice
S0227,K018,4,0.261,1,18,practice
S0227,K006,5,0.156,1,17,practice
S0227,K022,1,0.146,0,17,practice
S0227,K019,1,0.201,0,24,practice
S0227,K043,4,0.198,1,21,practice
S0227,K047,5,0.2,1,14,practice
S0227,K056,2,0.29,0,18,practice
S0227,K021,4,0.214,1,20,practice
S0227,K003,3,0.279,0,18,practice
S0227,K062,2,0.287,0,19,practice
S0227,K033,9,0.398,3,24,practice
S0227,K015,1,0.112,0,19,practice
S0227,K079,6,0.302,1,13,practice
S0228,K075,4,0.426,1,16,explanation
S0228,K051,7,0.685,3,17,explanation
S0228,K011,8,0.461,3,21,explanation
S0228,K013,7,0.35,2,23,explanation
S0228,K049,7,0.528,2,17,explanation
S0228,K024,8,0.489,3,16,explanation
S0228,K057,6,0.561,2,13,explanation
S0228,K022,5,0.63,2,19,explanation
S0228,K070,5,0.468,1,18,explanation
S0228,K034,9,0.593,3,19,explanation
S0228,K003,5,0.454,1,13,explanation
S0228,K008,7,0.485,2,14,explanation
S0228,K046,10,0.535,4,8,explanation
S0228,K078,7,0.195,1,23,explanation
S0228,K015,5,0.399,1,17,explanation
S0228,K079,9,0.449,3,20,explanation
S0229,K025,8,0.459,3,13,practice
S0229,K026,16,0.62,7,17,practice
S0229,K072,6,0.239,1,8,practice
S0229,K001,13,0.657,6,19,practice
S0229,K050,9,0.354,3,22,practice
S0229,K068,9,0.488,3,11,practice
S0229,K076,5,0.462,1,17,practice
S0229,K044,10,0.598,4,15,practice
S0229,K069,7,0.375,2,23,practice
S0229,K032,12,0.465,4,16,practice
S0229,K059,6,0.312,1,19,practice
S0229,K071,8,0.486,3,13,practice
S0229,K064,8,0.399,2,17,practice
S0229,K003,4,0.531,1,16,practice
S0229,K053,14,0.551,5,22,practice
S0229,K062,6,0.371,2,15,practice
S0229,K055,7,0.46,2,9,practice
S0229,K015,3,0.458,1,14,practice
S0229,K073,6,0.262,1,19,practice
S0230,K037,3,0.224,0,14,practice
S0230,K026,2,0.273,0,13,practice
S0230,K050,2,0.217,0,17,practice
S0230,K010,3,0.15,0,14,practice
S0230,K049,3,0.137,0,17,practice
S0230,K068,2,0.106,0,19,practice
S0230,K044,7,0.249,2,8,practice
S0230,K067,3,0.172,0,27,practice
S0230,K006,5,0.209,1,17,practice
S0230,K071,5,0.174,1,16,practice
S0230,K019,10,0.264,3,19,practice
S0230,K064,5,0.308,1,15,practice
S0230,K047,2,0.306,0,19,practice
S0230,K062,6,0.231,1,23,practice
S0230,K033,4,0.103,0,21,practice
S0230,K046,1,0.217,0,17,practice
S0230,K078,2,0.083,0,13,practice
S0231,K025,5,0.394,1,19,diagram
S0231,K028,6,0.3,1,23,diagram
S0231,K001,9,0.339,3,20,diagram
S0231,K061,4,0.331,1,15,diagram
S0231,K024,4,0.363,1,16,diagram
S0231,K069,3,0.198,0,18,diagram
S0231,K045,3,0.233,0,17,diagram
S0231,K048,4,0.268,1,28,diagram
S0231,K017,9,0.398,3,18,diagram
S0231,K034,3,0.456,1,20,diagram
S0231,K033,5,0.289,1,16,diagram
S0231,K046,4,0.437,1,21,diagram
S0231,K078,6,0.126,1,23,diagram
S0231,K054,9,0.476,3,22,diagram
S0232,K029,12,0.945,6,14,diagram
S0232,K037,10,1.0,6,13,diagram
S0232,K026,7,1.0,4,19,diagram
S0232,K072,6,0.422,2,11,diagram
S0232,K001,10,0.672,4,25,diagram
S0232,K010,7,0.666,3,21,diagram
S0232,K061,4,0.764,2,12,diagram
S0232,K004,8,0.674,3,7,diagram
S0232,K024,10,0.779,5,19,diagram
S0232,K009,9,0.634,4,12,diagram
S0232,K052,16,0.906,8,10,diagram
S0232,K032,7,0.889,3,11,diagram
S0232,K045,2,0.559,0,21,diagram
S0232,K007,8,0.723,3,23,diagram
S0232,K043,9,0.878,4,18,diagram
S0232,K053,14,0.899,7,15,diagram
S0232,K015,7,0.609,3,9,diagram
S0232,K073,5,0.447,1,14,diagram
S0233,K020,4,0.339,1,14,diagram
S0233,K023,5,0.314,1,15,diagram
S0233,K036,4,0.339,1,11,diagram
S0233,K050,7,0.379,2,8,diagram
S0233,K010,9,0.379,3,18,diagram
S0233,K013,4,0.33,1,13,diagram
S0233,K057,6,0.149,1,19,diagram
S0233,K009,8,0.394,2,10,diagram
S0233,K006,5,0.239,1,8,diagram
S0233,K059,5,0.258,1,10,diagram
S0233,K017,5,0.244,1,6,diagram
S0233,K047,2,0.148,0,12,diagram
S0233,K003,4,0.313,1,14,diagram
S0233,K008,6,0.267,1,11,diagram
S0233,K058,4,0.251,1,10,diagram
S0233,K002,3,0.38,1,14,diagram
S0233,K015,8,0.316,2,7,diagram
S0233,K054,8,0.471,3,14,diagram
S0234,K029,10,0.559,4,16,diagram
S0234,K028,15,0.616,6,23,diagram
S0234,K031,5,0.562,2,19,diagram
S0234,K001,9,0.567,3,35,diagram
S0234,K065,3,0.534,1,21,diagram
S0234,K011,8,0.35,2,17,diagram
S0234,K010,7,0.45,2,21,diagram
S0234,K005,4,0.512,1,29,diagram
S0234,K076,3,0.527,1,20,diagram
S0234,K057,11,0.551,4,21,diagram
S0234,K009,5,0.446,1,27,diagram
S0234,K018,12,0.584,5,6,diagram
S0234,K035,10,0.625,4,21,diagram
S0234,K059,7,0.398,2,10,diagram
S0234,K071,7,0.501,2,19,diagram
S0234,K022,16,0.678,7,25,diagram
S0234,K019,4,0.567,1,15,diagram
S0234,K014,7,0.47,2,14,diagram
S0234,K017,13,0.715,6,31,diagram
S0234,K008,9,0.469,3,27,diagram
S0234,K058,5,0.546,2,26,diagram
S0234,K041,4,0.5,1,16,diagram
S0234,K055,1,0.591,0,14,diagram
S0234,K002,10,0.679,4,15,diagram
S0235,K037,7,0.589,3,24,explanation
S0235,K028,5,0.743,2,18,explanation
S0235,K065,9,0.355,3,14,explanation
S0235,K030,10,0.49,3,18,explanation
S0235,K040,8,0.617,3,11,explanation
S0235,K059,9,0.571,3,10,explanation
S0235,K027,7,0.489,2,15,explanation
S0235,K017,7,0.606,3,17,explanation
S0235,K047,10,0.516,4,21,explanation
S0235,K058,10,0.436,3,32,explanation
S0235,K041,7,0.589,3,14,explanation
S0235,K015,9,0.383,3,12,explanation
S0235,K073,5,0.254,1,24,explanation
S0236,K020,7,0.475,2,15,diagram
S0236,K023,3,0.315,0,17,diagram
S0236,K051,2,0.35,0,20,diagram
S0236,K060,7,0.318,2,14,diagram
S0236,K010,9,0.273,2,20,diagram
S0236,K024,5,0.366,1,20,diagram
S0236,K067,1,0.235,0,16,diagram
S0236,K009,4,0.375,1,21,diagram
S0236,K038,4,0.219,1,18,diagram
S0236,K063,10,0.36,3,17,diagram
S0236,K056,3,0.358,1,16,diagram
S0236,K053,5,0.288,1,24,diagram
S0236,K046,4,0.393,1,19,diagram
S0236,K042,7,0.283,2,7,diagram
S0237,K072,7,0.529,2,17,diagram
S0237,K011,6,0.434,2,15,diagram
S0237,K049,9,0.643,4,11,diagram
S0237,K024,8,0.66,3,19,diagram
S0237,K069,9,0.559,3,19,diagram
S0237,K063,10,0.543,4,33,diagram
S0237,K017,8,0.524,3,17,diagram
S0237,K047,6,0.492,2,27,diagram
S0237,K056,10,0.634,4,22,diagram
S0237,K003,5,0.487,1,17,diagram
S0237,K077,1,0.411,0,15,diagram
S0237,K041,4,0.479,1,25,diagram
S0237,K055,6,0.665,2,20,diagram
S0237,K046,9,0.554,3,22,diagram
S0237,K042,9,0.637,4,16,diagram
S0238,K031,10,0.816,5,27,practice
S0238,K072,9,0.347,3,28,practice
S0238,K065,11,0.626,4,26,practice
S0238,K060,13,0.479,5,19,practice
S0238,K013,12,0.625,5,24,practice
S0238,K048,5,0.701,2,16,practice
S0238,K070,14,0.724,6,19,practice
S0238,K064,6,0.633,2,28,practice
S0238,K021,8,0.799,4,19,practice
S0238,K008,5,0.536,2,24,practice
S0238,K062,4,0.539,1,21,practice
S0238,K041,7,0.581,3,24,practice
S0238,K073,9,0.512,3,27,practice
S0239,K025,6,0.686,2,22,examples
S0239,K011,8,0.47,3,13,examples
S0239,K036,9,0.689,4,21,examples
S0239,K050,6,0.415,2,20,examples
S0239,K013,6,0.423,2,18,examples
S0239,K049,6,0.64,2,18,examples
S0239,K004,8,0.581,3,23,examples
S0239,K076,8,0.546,3,20,examples
S0239,K052,8,0.622,3,19,examples
S0239,K006,9,0.482,3,19,examples
S0239,K059,8,0.491,3,24,examples
S0239,K071,13,0.611,5,21,examples
S0239,K027,6,0.461,2,14,examples
S0239,K048,10,0.621,4,22,examples
S0239,K017,10,0.464,3,19,examples
S0239,K064,4,0.554,1,21,examples
S0239,K034,9,0.719,4,24,examples
S0239,K008,11,0.514,4,12,examples
S0239,K016,8,0.636,3,18,examples
S0239,K077,4,0.474,1,25,examples
S0239,K046,11,0.497,4,17,examples
S0239,K002,5,0.494,1,27,examples
S0240,K020,7,0.575,3,19,explanation
S0240,K075,5,0.334,1,19,explanation
S0240,K023,11,0.66,5,26,explanation
S0240,K026,4,0.589,1,16,explanation
S0240,K051,6,0.436,2,12,explanation
S0240,K065,5,0.491,1,17,explanation
S0240,K050,2,0.391,0,14,explanation
S0240,K013,5,0.551,2,22,explanation
S0240,K061,6,0.415,2,14,explanation
S0240,K068,4,0.503,1,19,explanation
S0240,K044,11,0.631,4,20,explanation
S0240,K018,4,0.593,1,17,explanation
S0240,K006,8,0.491,3,15,explanation
S0240,K027,3,0.448,1,20,explanation
S0240,K019,5,0.579,2,17,explanation
S0240,K014,3,0.456,1,14,explanation
S0240,K007,6,0.562,2,16,explanation
S0240,K064,4,0.521,1,9,explanation
S0240,K047,13,0.513,5,15,explanation
S0240,K054,6,0.596,2,19,explanation
S0241,K037,5,0.475,1,31,diagram
S0241,K031,9,0.601,3,25,diagram
S0241,K036,6,0.587,2,9,diagram
S0241,K010,5,0.421,1,12,diagram
S0241,K049,5,0.473,1,14,diagram
S0241,K005,3,0.389,1,27,diagram
S0241,K044,5,0.647,2,13,diagram
S0241,K018,12,0.553,5,13,diagram
S0241,K006,14,0.355,4,38,diagram
S0241,K022,6,0.556,2,17,diagram
S0241,K008,8,0.442,3,20,diagram
S0241,K058,9,0.51,3,22,diagram
S0241,K016,5,0.525,2,29,diagram
S0241,K077,6,0.443,2,21,diagram
S0241,K033,5,0.428,1,20,diagram
S0241,K080,5,0.306,1,23,diagram
S0241,K046,12,0.512,4,14,diagram
S0241,K078,7,0.261,2,25,diagram
S0241,K079,9,0.512,3,12,diagram
S0242,K031,2,0.2,0,15,diagram
S0242,K050,4,0.285,1,14,diagram
S0242,K013,5,0.189,1,15,diagram
S0242,K049,4,0.235,1,10,diagram
S0242,K068,5,0.192,1,14,diagram
S0242,K005,4,0.178,1,14,diagram
S0242,K076,4,0.051,0,18,diagram
S0242,K044,6,0.266,1,9,diagram
S0242,K067,1,0.22,0,19,diagram
S0242,K009,6,0.189,1,23,diagram
S0242,K032,5,0.19,1,17,diagram
S0242,K035,4,0.298,1,16,diagram
S0242,K038,4,0.222,1,13,diagram
S0242,K019,6,0.207,1,11,diagram
S0242,K014,1,0.127,0,13,diagram
S0242,K007,2,0.236,0,17,diagram
S0242,K017,4,0.218,1,12,diagram
S0242,K003,4,0.169,1,16,diagram
S0242,K016,7,0.306,2,14,diagram
S0242,K077,5,0.125,1,14,diagram
S0242,K033,6,0.174,1,13,diagram
S0242,K039,8,0.266,2,10,diagram
S0242,K042,3,0.101,0,23,diagram
S0243,K020,5,0.309,1,24,diagram
S0243,K037,3,0.281,0,18,diagram
S0243,K028,4,0.165,1,7,diagram
S0243,K013,7,0.362,2,17,diagram
S0243,K005,1,0.153,0,18,diagram
S0243,K018,1,0.206,0,18,diagram
S0243,K035,6,0.251,1,1,diagram
S0243,K064,2,0.23,0,14,diagram
S0243,K008,9,0.262,2,17,diagram
S0243,K058,4,0.189,1,15,diagram
S0243,K046,4,0.242,1,18,diagram
S0243,K078,2,0.26,0,33,diagram
S0243,K002,4,0.252,1,13,diagram
S0244,K075,7,0.425,2,22,examples
S0244,K026,18,1.0,10,23,examples
S0244,K050,8,0.593,3,27,examples
S0244,K010,11,0.662,5,23,examples
S0244,K019,5,0.713,2,22,examples
S0244,K014,13,0.582,5,19,examples
S0244,K043,9,0.647,4,32,examples
S0244,K047,11,0.622,4,25,examples
S0244,K021,13,0.735,6,10,examples
S0244,K053,6,0.772,3,26,examples
